DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/1,1,1,8.53
2015/1/1,1,2,8.48
2015/1/1,1,3,6.95
2015/1/1,1,4,8.48
2015/1/1,1,5,6.9
2015/1/1,10,2,5.12
2015/1/1,10,4,5.41
2015/1/1,10,5,5.41
2015/1/1,10,6,5.41
2015/1/1,10,7,6.94
2015/1/1,10,8,6.89
2015/1/1,10,9,7.04
2015/1/1,10,10,7.04
2015/1/1,10,11,6.99
2015/1/1,10,12,7.04
2015/1/1,11,4,5.12
2015/1/1,11,5,5.2
2015/1/1,11,6,5.2
2015/1/1,11,7,5.41
2015/1/1,11,8,5.2
2015/1/1,11,9,5.41
2015/1/1,11,10,6.89
2015/1/1,11,11,6.94
2015/1/1,11,12,6.94
2015/1/1,12,1,5.2
2015/1/1,12,2,5.41
2015/1/1,12,3,5.41
2015/1/1,12,4,6.94
2015/1/1,12,5,6.99
2015/1/1,12,6,6.99
2015/1/1,12,7,6.99
2015/1/1,12,8,6.99
2015/1/1,12,9,6.99
2015/1/1,12,10,6.99
2015/1/1,12,11,7.04
2015/1/1,12,12,7.04
2015/1/1,13,1,8.53
2015/1/1,13,2,8.48
2015/1/1,13,3,8.58
2015/1/1,13,4,8.58
2015/1/1,13,5,8.58
2015/1/1,13,6,8.53
2015/1/1,13,7,12.5
2015/1/1,13,8,12.5
2015/1/1,13,9,12.25
2015/1/1,13,10,12.25
2015/1/1,13,11,12.25
2015/1/1,13,12,12.5
2015/1/1,14,1,8.58
2015/1/1,14,2,8.58
2015/1/1,14,3,8.58
2015/1/1,14,4,8.58
2015/1/1,14,5,12.25
2015/1/1,14,6,12.25
2015/1/1,14,7,12.25
2015/1/1,14,8,12.25
2015/1/1,14,9,12.25
2015/1/1,14,10,8.58
2015/1/1,14,11,8.53
2015/1/1,14,12,8.48
2015/1/1,15,3,5.12
2015/1/1,15,4,5.12
2015/1/1,15,5,5.12
2015/1/1,15,6,5.2
2015/1/1,15,7,5.12
2015/1/1,15,8,5.2
2015/1/1,15,9,5.2
2015/1/1,15,10,5.12
2015/1/1,15,11,5.2
2015/1/1,15,12,5.2
2015/1/1,16,8,5.2
2015/1/1,16,9,6.89
2015/1/1,16,10,5.2
2015/1/1,16,11,6.94
2015/1/1,16,12,6.99
2015/1/1,17,2,0.1
2015/1/1,17,3,0.1
2015/1/1,17,4,5.12
2015/1/1,17,5,5.12
2015/1/1,17,6,6.89
2015/1/1,17,7,7.04
2015/1/1,17,8,8.58
2015/1/1,17,9,12.25
2015/1/1,17,10,14.13
2015/1/1,17,11,14.21
2015/1/1,17,12,14.29
2015/1/1,18,1,12.51
2015/1/1,18,2,14.21
2015/1/1,18,3,14.21
2015/1/1,18,4,14.21
2015/1/1,18,5,8.53
2015/1/1,18,6,8.53
2015/1/1,18,7,8.58
2015/1/1,18,8,8.58
2015/1/1,18,9,8.59
2015/1/1,18,10,8.58
2015/1/1,18,11,8.58
2015/1/1,18,12,8.53
2015/1/1,19,1,12.25
2015/1/1,19,2,8.58
2015/1/1,19,3,8.53
2015/1/1,19,4,8.53
2015/1/1,19,5,8.53
2015/1/1,19,6,8.48
2015/1/1,19,7,8.48
2015/1/1,19,8,8.48
2015/1/1,19,9,6.99
2015/1/1,19,10,6.99
2015/1/1,19,11,6.99
2015/1/1,19,12,8.48
2015/1/1,20,1,14.17
2015/1/1,20,2,19.17
2015/1/1,20,3,14.22
2015/1/1,20,4,14.22
2015/1/1,20,5,14.22
2015/1/1,20,6,14.2
2015/1/1,20,7,14.2
2015/1/1,20,8,14.2
2015/1/1,20,9,14.13
2015/1/1,20,10,12.25
2015/1/1,20,11,12.25
2015/1/1,20,12,8.53
2015/1/1,21,1,14.12
2015/1/1,21,2,14.15
2015/1/1,21,3,12.25
2015/1/1,21,4,6.99
2015/1/1,21,5,6.89
2015/1/1,21,6,6.94
2015/1/1,21,7,5.2
2015/1/1,21,8,5.2
2015/1/1,21,9,5.12
2015/1/1,21,10,0.1
2015/1/1,21,11,0.1
2015/1/1,21,12,0.1
2015/1/1,22,1,8.62
2015/1/1,22,2,8.61
2015/1/1,22,3,8.48
2015/1/1,22,4,8.49
2015/1/1,22,5,8.49
2015/1/1,22,6,8.48
2015/1/1,22,7,6.94
2015/1/1,22,8,6.89
2015/1/1,22,9,5.2
2015/1/1,22,10,0.1
2015/1/1,22,11,0.1
2015/1/1,22,12,0.1
2015/1/1,23,1,8.48
2015/1/1,23,2,8.48
2015/1/1,23,3,8.47
2015/1/1,23,4,8.46
2015/1/1,23,5,8.34
2015/1/1,23,6,8.45
2015/1/1,23,7,6.99
2015/1/1,23,8,6.99
2015/1/1,23,9,5.99
