ID,hour,holiday,maxtemp,mintemp,load,sixhour,day
0,0.016,0.0,0.444,0.619,5.1648,4.6525,6.669
1,0.0582,0.0,0.444,0.619,4.7958,4.9187,6.672
2,0.1005,0.0,0.444,0.619,4.5686,5.3269,6.6735
3,0.1423,0.0,0.444,0.619,4.4447,5.7943,6.6761
4,0.1847,0.0,0.444,0.619,4.4393,6.2765,6.6781
5,0.2265,0.0,0.444,0.619,4.5395,6.7586,6.6798
6,0.269,0.0,0.444,0.619,5.127,7.155,6.6807
7,0.3105,0.0,0.444,0.619,6.3932,7.329,6.6815
8,0.353,0.0,0.444,0.619,7.0174,7.4018,6.6803
9,0.395,0.0,0.444,0.619,7.2491,7.4597,6.6796
10,0.437,0.0,0.444,0.619,7.3329,7.5836,6.6766
11,0.4795,0.0,0.444,0.619,7.4323,7.8389,6.6717
12,0.521,0.0,0.444,0.619,7.5054,8.0544,6.6677
13,0.5632,0.0,0.444,0.619,7.4369,8.1911,6.6617
14,0.6055,0.0,0.444,0.619,7.4541,8.2456,6.6528
15,0.6475,0.0,0.444,0.619,7.5964,8.1851,6.6438
16,0.6898,0.0,0.444,0.619,8.0767,7.9158,6.6353
17,0.7315,0.0,0.444,0.619,8.964,7.4009,6.6289
18,0.774,0.0,0.444,0.619,8.7984,6.8139,6.623
19,0.8155,0.0,0.444,0.619,8.2568,6.2494,6.6206
20,0.8582,0.0,0.444,0.619,7.7815,5.7197,6.6167
21,0.9,0.0,0.444,0.619,7.2334,5.2654,6.6153
22,0.942,0.0,0.444,0.619,6.4609,4.9366,6.617
23,0.9845,0.0,0.444,0.619,5.8743,4.7208,6.6195
24,0.016,0.0,0.481,0.571,5.2765,4.6993,6.6223
25,0.0582,0.0,0.481,0.571,4.8696,4.9566,6.6233
26,0.1005,0.0,0.481,0.571,4.6034,5.354,6.6233
27,0.1423,0.0,0.481,0.571,4.5078,5.8083,6.6238
28,0.1847,0.0,0.481,0.571,4.4879,6.2705,6.6267
29,0.2265,0.0,0.481,0.571,4.5797,6.7261,6.6298
30,0.269,0.0,0.481,0.571,5.1476,7.1032,6.6323
31,0.3105,0.0,0.481,0.571,6.4131,7.2498,6.632
32,0.353,0.0,0.481,0.571,6.9879,7.292,6.6363
